0x000B864DCEBA5526: Be Honored with a Legacy Statue	→	Be Honoured with a Legacy Statue
0x000CA52C6B3A9A7A: Too often, fences are used to divide us. But whether you lean to the left or the right, the Bipartisan Fence has the kind of universal appeal that can bridge any divide and help unite yourself with your fellow neighbors.	→	Too often, fences are used to divide us. But whether you lean to the left or the right, the Bipartisan Fence has the kind of universal appeal that can bridge any divide and help unite yourself with your fellow neighbours.
0x00176405848E5E0E: Stu Surprise is an icky dish that contains so many flavors that it becomes palateable. Your Sim wants to eat Stu Surprise made with watermelon and blowfish.	→	Stu Surprise is an icky dish that contains so many flavours that it becomes palateable. Your Sim wants to eat Stu Surprise made with watermelon and blowfish.
0x001874D516C998AF: It's almost time to send your Sim to school!\n\nWould you like to learn how to make your Sim an honor student?	→	It's almost time to send your Sim to school!Would you like to learn how to make your Sim an honour student?
0x00232A6F413A0236: See Game at Stadium	→	See Match at Stadium
0x00474D9D56D79456: {0.SimName} is fond of {1.ObjectName}!  Does {2.SimName} have napkins?	→	{0.SimName} is fond of {1.ObjectName}! Does {2.SimName} have napkins?
0x0053CBFD4302CABB: The floor below holds my most prized treasures.  It is a fortress that only the boldest of adventurers will be able to gain entry to and overcome.   Signed, Dong Huo.	→	The floor below holds my most prized treasures. It is a fortress that only the boldest of adventurers will be able to gain entry to and overcome. Signed, Dong Huo.
0x006BB555C09325CE: Through dedicated study, you may build great Plumbots. It takes very special inspiration to imbue them with Sentience! Those superb citizens bridging this gap are examples to Sim and Bot alike: symbols of the civilization they both share.	→	Through dedicated study, you may build great Plumbots. It takes very special inspiration to imbue them with Sentience! Those superb citizens bridging this gap are examples to Sim and Bot alike: symbols of the civilisation they both share.
0x006DB9013FF3BAF6: Check Neigborhood for Pets to Adopt	→	Check Neighbourhood for Pets to Adopt
0x006DEB702899FA76: The things you've done have been epic...and the fact you got away with it all? You are what neighborhood legends are made of!	→	The things you've done have been epic...and the fact you got away with it all? You are what neighbourhood legends are made of!
0x0071D2F20C4BDD14: Outdoor Future Trashcan Lid	→	Outdoor Future Waste Bin Lid
0x00930D70D74E1C0E: When a fellow astronaut was stranded in space and left for dead, you led the rescue mission from the command center to bring the friend safely home.	→	When a fellow astronaut was stranded in space and left for dead, you led the rescue mission from the command centre to bring the friend safely home.
0x00AB85966AC2EA67: Le Petit Shark Pool Center 	→	Le Petit Shark Pool Centre 
0x00D47482E8D07EA1: Body Hair Color	→	Body Hair Colour
0x00F605DB3AE54E3C: God save the Queen Fencing Co. as they introduce the Flex Crystals Bollard Fence, a lighted enclosure done your way. And if your square neighbors don’t like the Flex Crystals, just flash a snarl and tell them to never mind the bollards!	→	God save the Queen Fencing Co. as they introduce the Flex Crystals Bollard Fence, a lighted enclosure done your way. And if your square neighbours don’t like the Flex Crystals, just flash a snarl and tell them to never mind the bollards!
0x00F6B60B04493A16: Sports Game	→	Madden NFL
0x0123B93F30D82082: Vague Visionaries have just started to realize some of the universal patterns of fate. You'll still do a lot of guesswork, but sometimes certain guesses just feel better than others. It's almost as if you can see the path that another person's life will take -- or if not the path, the general direction that life will go in. With practice, you may develop this gift!	→	Vague Visionaries have just started to realise some of the universal patterns of fate. You'll still do a lot of guesswork, but sometimes certain guesses just feel better than others. It's almost as if you can see the path that another person's life will take -- or if not the path, the general direction that life will go in. With practice, you may develop this gift!
0x01340640AFD9713A: If {0.SimFirstName} isn't allowed to warm up soon, the social worker will be forced to take away all of the daycare children and suspend the daycare.	→	If {0.SimFirstName} isn't allowed to warm up soon, the social worker will be forced to take away all of the nursery children and suspend the daycare.
0x0137987925A2B931: Theatre	→	Cinema
0x01379B7925A2BE2D: Socializing	→	Socialising
0x0145A4A96489270D: We’ve always been told not to judge a book by its cover. However, judging it by its posture is a whole different story. No one likes a slouching book, so help keep your favorite literary devices’ posture intact with the Posture-Perfect Bookshelf.	→	We’ve always been told not to judge a book by its cover. However, judging it by its posture is a whole different story. No one likes a slouching book, so help keep your favourite literary devices’ posture intact with the Posture-Perfect Bookshelf.
